content,score,sentiment,clean
Shopee Semakin Mantap ! 🏍️ karena ada Bebas Pengembalian 9Hari&Garansi Tepat Waktu ! TOP 👍👍👍🏍️ Mantaap🇮🇩,5,positif,shopee semakin mantap   ada bebas pengembalian harigaransi tepat waktu  top  mantaap
"astaga shopee shopee, seharusnya lebih diperhatikan lagi mitranya, argo murah, kadang juga ga sesuai tertera 7kg, tapi bawanya 25kg nyusahin aja dah",1,negatif,astaga shopee shopee lebih diperhatikan mitranya argo murah kadang ga sesuai tertera kg bawanya kg nyusahin aja dah
sangat membantu,5,positif,sangat membantu
baguss,5,positif,baguss
Capek jadi seller. dirampokin mulu. ada aja potongan ini itu. pen pindah tapi ga punya pilihan. sial.,2,negatif,capek jadi seller dirampokin mulu aja potongan itu pen pindah ga punya pilihan sial
sangat bagus,5,positif,sangat bagus
pelayanan sejauh ini masih bagus,5,positif,pelayanan sejauh masih bagus
hapuskan saja jne pickup yang lelet itu markoboy..merugikan konsumen dan pelapak...,1,negatif,hapuskan jne pickup lelet markoboymerugikan konsumen pelapak
"karna bisa tau sebagus apa dan juga bisa tau harga nya berapa,jadi klo males tinggal liat ke shopee indonesia aja deh",5,positif,karna tau sebagus apa juga tau harga nya berapajadi klo males tinggal liat shopee indonesia aja deh
good,5,positif,good
memuaskan,2,negatif,memuaskan
app e-commerce yg sangat mudah penggunaannya dan dpt di percaya toko² pelapak yg ada di shopee,5,positif,app ecommerce yg sangat mudah penggunaannya dpt percaya toko pelapak yg di shopee
mudah dah baik,5,positif,mudah dah baik
"pindah dari aplkasi sebelah .. ternyata lebih enak di sini .. bebas ongkir dan banyak discound nya .. jangan ragu belanjan di sini .. asal cermat dalam memilih toko .. dan melihat rating toko nya brapa .. minimal 4,5 ..",5,positif,pindah aplkasi sebelah  ternyata lebih enak sini  bebas ongkir banyak discound nya  jangan ragu belanjan sini  asal cermat memilih toko  melihat rating toko nya brapa  minimal  
"shopee sangat menyenangkan,seru untuk memesan online, tolong juga kalo bisa memperbanyak promo/diskon dan pembayaran ongkirnya jangan terlalu mahal🙏🙏",5,positif,shopee sangat menyenangkanseru memesan online juga kalo memperbanyak promodiskon pembayaran ongkirnya jangan terlalu mahal
bagus dan sangat membantu,5,positif,bagus sangat membantu
aplikasi ini bagus sangat membantu dalam proses pembelian,5,positif,aplikasi bagus sangat membantu proses pembelian
okee,5,positif,okee
bagus sekali,5,positif,bagus sekali
mantap,5,positif,mantap
bagus saya ga perlu ke toko kalow ada yang di cari kalow ada sopi,1,negatif,bagus ga perlu toko kalow yang cari kalow sopi
"sekarang pengiriman nya terlalu lama gak kaya dulu,,kalau dulu mah slalu cepat 2 hari udah datang paket nya skarang mh paling cepat 3 hari",3,netral,sekarang pengiriman nya terlalu lama gak kaya dulukalau dulu mah slalu cepat  hari udah datang paket nya skarang mh paling cepat  hari
👍👍,5,positif,
udah 4 lebaran nih gw di tinggal bini ya moga² shopee mau ksh gw Bonus sm Promonya ditambah lg dong Utk produk virtual lbh cepat lg dan di perbaiki utk next nya makin yahut Goood oye pancen oye👍👍,5,positif,udah  lebaran nih gw tinggal bini moga shopee mau ksh gw bonus sm promonya ditambah lg dong utk produk virtual lbh cepat lg di perbaiki utk next nya makin yahut goood oye pancen oye
tidak ribet,5,positif,ribet
belanja lebih mudah & sangat membantu,5,positif,belanja lebih mudah  sangat membantu
"APK KIKIR! SEBELUM CO DAN SEBELUM NGISI SPAY HARGANYA MURAH, PAS UDH DI ISIIN SPAY MALAH NAIK 2X LIPAT. KIKIR!",1,negatif,apk kikir co sebelum ngisi spay harganya murah pas udh isiin spay malah naik x lipat kikir
baik,4,positif,baik
mantap,5,positif,mantap
min kalau ambil potongan kira2 don min masak ngambil 250rb aku cuma untung 38rb yv bnr aja min,2,negatif,min kalau ambil potongan kira don min masak ngambil rb aku cuma untung rb yv bnr aja min
bagus aplikasi nya,5,positif,bagus aplikasi nya
"masuk akun sendiri aja susah,malah disuruh scan lewat hp yang lama, padahal hp lama rusak dan gak bisa hidup malah di suruh buka barcode scanner nya lagi...gimana cara scan nya woi kalau begitu..",2,negatif,masuk akun sendiri aja susahmalah disuruh scan lewat hp lama padahal hp lama rusak gak hidup malah suruh buka barcode scanner nya lagigimana cara scan nya woi kalau
semoga semakin maju,5,positif,semoga semakin maju
bagus,5,positif,bagus
Mantap,5,positif,mantap
lumayan,5,positif,lumayan
buat lihat lihat bagus,5,positif,buat lihat lihat bagus
Shopee keren 👍,5,positif,shopee keren 
amanah,5,positif,amanah
Bagus,5,positif,bagus
Shopee sangat membantu kita mudah belanja.,5,positif,shopee sangat membantu mudah belanja
bagus,5,positif,bagus
mantab shopeee. jaya slalu,5,positif,mantab shopeee jaya slalu
bagus layanan,5,positif,bagus layanan
"bagus, sangat membantu mendapatkan barang yg tidak ada di jual di daerah kami.",5,positif,bagus sangat membantu mendapatkan barang yg ada jual daerah
"dear team developer, coba benerin UX mu itu. masa tombol ""kembali"" kadang balik ke tampilan sebelumnya tapi kadang juga malah ke home. kan ribet harus ketik ulang pencarian",1,negatif,dear team developer coba benerin ux mu masa tombol kadang balik tampilan sebelumnya kadang malah home kan ribet ketik ulang pencarian
kecewa tadinya bintang 4. masa retur barang karna tidak sesuai malah saya yg kena penalti gak bisa cod alasannya karna barang di kembalikan.,2,negatif,kecewa tadinya bintang  masa retur barang karna sesuai malah yg kena penalti gak cod alasannya karna barang kembalikan
gooof,5,positif,gooof
ok,5,positif,
terimakasih aplikasi nya shopee mantap dan bagus tapi belanja ada ritanggan kurang nyesal saya,5,positif,terimakasih aplikasi nya shopee mantap bagus belanja ritanggan kurang nyesal
belanja mudah dan murah gratis ongkir,5,positif,belanja mudah murah gratis ongkir
oke,5,positif,oke
"shopee sekarang ngga bisa blanja ke luar negri, terutama barang yang sulit kita cari di dalam negeri. sangat di sayangkan.",4,positif,shopee sekarang ngga blanja luar negri terutama barang sulit cari dalam negeri sangat sayangkan
aku download shope mau belanja tapi malah beranda nya gak bisa di buka. aneh kali tulisan periksa jaringan anda padahal aku pakai wifi.,1,negatif,aku download shope mau belanja malah beranda nya gak di buka aneh kali tulisan periksa jaringan padahal aku pakai wifi
bguss,5,positif,bguss
memudahkan pencarian barang barang yang di perlukan,5,positif,memudahkan pencarian barang barang di perlukan
aplikasi bagus....cuman yang bikin kesel adalah saat paket berada di kota besar contoh Surabaya kurirnya lama gagal mengirimkan dalam melakukan pengantaran paket hingga 4 kali pengiriman di alamat tersebut padahal alamat tersebut sesuai dengan apa yang ada dilapangan dan yang terdaftar dan saya mengalami pengembalian barang secara otomatis. apalagi jasa kirim yang tidak kompeten/lambat dalam pengiriman tidak sesuai dengan estimasi padahal harus bisa lebih cepat. tolong hapusin jasa kirimnya aja,2,negatif,aplikasi baguscuman bikin kesel saat paket berada kota besar contoh surabaya kurirnya lama gagal mengirimkan melakukan pengantaran paket hingga  kali pengiriman alamat tersebut padahal alamat tersebut sesuai apa ada dilapangan terdaftar saya mengalami pengembalian barang otomatis jasa kirim yang kompetenlambat pengiriman tidak sesuai estimasi padahal bisa lebih cepat hapusin jasa kirimnya aja
bagus aflikasinya,5,positif,bagus aflikasinya
shopee is the best,5,positif,shopee is the best
aplikasi shopee memang bagus untuk belanja online. tp isi dalam aplikasi shopee seperti Spaylater dan Spinjam tidak bisa di gunakan. buat apa di pajang di aplikasi shopee hanya buat semak. kalo Spaylater dan Spinjam tidak bisa di akses lebih baik tidak usah di tawarkan ke pengguna Shopee,3,netral,aplikasi shopee memang bagus belanja online tp isi aplikasi shopee spaylater spinjam bisa gunakan buat apa pajang aplikasi shopee buat semak kalo spaylater spinjam bisa akses lebih baik usah tawarkan pengguna shopee
"saya belanja dishopee, terus pesanan saya tidak sesuai,,, saya mau kembalian opsi pengembaliannya sangat ribet,,,(tidak bisa dikembalikan),,,jadi kalau belanja disini, misal tidak sesuai dengan apa yang anda pesan, jangan nyesal,,,uang anda 1000% gak akan kembali,,,",1,negatif,belanja dishopee terus pesanan sesuai mau kembalian opsi pengembaliannya sangat ribettidak dikembalikanjadi kalau belanja disini misal tidak sesuai apa pesan jangan nyesaluang anda  gak kembali
Sangat puas belanja,5,positif,sangat puas belanja
sudah top up shoope pay namun pesanan saya terus dibatalkan dan saldo shopee pay tidak bisa dikembalikan ke saldo dana,1,negatif,top up shoope pay pesanan terus dibatalkan saldo shopee pay bisa dikembalikan saldo dana
"Saya penjual, sekaligus pembeli. terimakasih Shopee",5,positif,penjual sekaligus pembeli terimakasih shopee
Pelayanan yang memuaskan,5,positif,pelayanan memuaskan
aplikasinya sangat berguna dan bermanfaat,5,positif,aplikasinya sangat berguna bermanfaat
mantap truskan,5,positif,mantap truskan
buruk seburuk buruknya,1,negatif,buruk seburuk buruknya
sangat-sangat membantu,5,positif,sangatsangat membantu
bagus,5,positif,bagus
bagus buat belanja sehari hari yang bikin ini wahhh mantap si jempoll👍👍👍,5,positif,bagus buat belanja sehari hari bikin wahhh mantap si jempoll
Moga Selalu menjaga Kualitas 👍,5,positif,moga selalu menjaga kualitas 
"mau login shopee pay tapi kudu verifikasi wajah, berkali2 gagal terus. nyusahin",2,negatif,mau login shopee pay kudu verifikasi wajah berkali gagal terus nyusahin
"aplikasi nya bagus, cuma kalau iklan jangan maksa buat harus otomatis buka apk pas lagi nyaman baca Wattpad, itu mengganggu kenyamanan pembaca",1,negatif,aplikasi nya bagus cuma kalau iklan jangan maksa buat otomatis buka apk pas nyaman baca wattpad mengganggu kenyamanan pembaca
ok mntap,5,positif,mntap
jadi hobby belanja,5,positif,jadi hobby belanja
"bagaimana pihak shopee yg selalu merugikan driver shopee?? order fiktif food dan spx barang sudah di terima konsumen tapi pihak konsumen klik barang tidak sampai?? driver shopee yg di rugikan, saldo minus bahkan sampai putus minta !! bagaimana tindakannya?? pihak aplikasi dan konsumen banyak maling, bersekongkol",1,negatif,bagaimana pihak shopee yg selalu merugikan driver shopee order fiktif food spx barang terima konsumen pihak konsumen klik barang driver shopee yg di rugikan saldo minus bahkan sampai putus minta  bagaimana tindakannya pihak aplikasi konsumen banyak maling bersekongkol
sangat membantu untuk belanja,5,positif,sangat membantu belanja
paket sy lama banget di anterin ngestak di Tanggerang,4,positif,paket sy lama banget anterin ngestak tanggerang
"biasahya ngga pernah ada masalah,baru kemarin belanja yang datang barang palsu,terpaksa dikembalikan.",5,positif,biasahya ngga pernah masalahbaru kemarin belanja datang barang palsuterpaksa dikembalikan
bagus,5,positif,bagus
payah ga bisa kasi solusi,1,negatif,payah ga kasi solusi
mantap yes,5,positif,mantap yes
bagus bangat bikin menarik lg.,5,positif,bagus bangat bikin menarik lg
baik,5,positif,baik
sangat membantu,5,positif,sangat membantu
keliling indonesia,5,positif,keliling indonesia
saya tidak suka iklan,1,negatif,tidak suka iklan
aplikasi yg sangat membantu oya kk kenapa akun saya g bisa cod lagiya,5,positif,aplikasi yg sangat membantu oya kk akun g cod lagiya
keluar dari pembayaran hilangkan putuskan semua,5,positif,keluar pembayaran hilangkan putuskan semua
aku puas sekali belanja apa saja di shopee harganya terjangkau murah dan barangnya ga kaleng2 bagus2,5,positif,aku puas sekali belanja apa di shopee harganya terjangkau murah barangnya ga kaleng bagus
cukup baik,5,positif,cukup baik
bagus,5,positif,bagus
bermanfaat ongkir murah dibanding dg yg lain,5,positif,bermanfaat ongkir murah dibanding dg yg
sangat puas,5,positif,sangat puas
jelek,1,negatif,jelek
good,5,positif,good
bagus min btw bagi satu hp kalo di kasih aku bakal fryistel,5,positif,bagus min btw satu hp kalo kasih aku bakal fryistel
ok mantap,5,positif,mantap
"Ngeri kali sekarang Ada yg tiba-tiba chat pura² jadi cs shopee palsu u perbaiki dulu itu, kalo dah beres saya tambah 1 bintang dulu, sisanya biar bintang-bintang itu menyusul.",1,negatif,ngeri kali sekarang yg tibatiba chat pura jadi cs shopee palsu u perbaiki dulu kalo dah beres tambah  bintang dulu sisanya biar bintangbintang menyusul
pelayanan cepat dan pengirimanya,5,positif,pelayanan cepat pengirimanya
bagus keren,5,positif,bagus keren
"izin kasih saran untuk ada kan apk DANA untuk pengembalian dana ,,, karena GK semua orang memilki ATM",5,positif,izin kasih saran ada kan apk dana pengembalian dana  gk semua orang memilki atm
mantap jiwa,5,positif,mantap jiwa
terimakasih,5,positif,terimakasih
sangat membantu,5,positif,sangat membantu
kenapa yah shopee sekarang lama pengiriman nya selalu struk bikin males 😖,4,positif,yah shopee sekarang lama pengiriman nya selalu struk bikin males 
"cepat,akurat dan terpercaya",5,positif,cepatakurat terpercaya
bagus,5,positif,bagus
makin sukses yaaa,5,positif,makin sukses yaaa
top bagus. bermanfaat sekali,5,positif,top bagus bermanfaat sekali
"gw belom masang lok, tapi ko tiba"" ada paket terus atas nama saya, terus kurir nya kelihatan kek marah padahal kn gw ga paham apa""😔, terus saya belum pernah pake apk Shopee",1,negatif,gw belom masang lok ko tiba paket terus atas nama terus kurir nya kelihatan kek marah padahal kn gw ga paham apa terus belum pernah pake apk shopee
mantab sangat membantu dlm berbelanja,5,positif,mantab sangat membantu dlm berbelanja
pengiriman barang lama banget sampai 10 hari belum juga nyampe. belanja di toko sebelah saja lah,2,negatif,pengiriman barang lama banget  hari juga nyampe belanja toko sebelah lah
"GAK USAH DAFTAR SHOPEE VIP, CUMA GIMMICK GAKBISA DI TUKAR. SEKALINYA NUKAR SALDO KEPOTONG",1,negatif,gak usah daftar shopee vip cuma gimmick gakbisa tukar sekalinya nukar saldo kepotong
"Mohon untuk pengembang, jangan terlalu sering merilis update kalau hanya perbaikan kecil. Update hampir setiap hari sangat menguras kuota pengguna. Tolong lebih efisien dan hargai paket data kami. Jangan jadikan pengguna sebagai sapi perah kuota. Deskripsi update cuma 'bug fixes' tapi ukurannya raksasa dan rilis tiap hari. Ini bisnis jualan aplikasi atau bisnis sedot kuota? Tolong Play Store tindak pengembang yang rakus seperti ini! Dulu beli software sekali, dipakai selamanya tanpa gangguan.",1,negatif,mohon pengembang jangan terlalu sering merilis update kalau perbaikan kecil update hampir hari sangat menguras kuota pengguna lebih efisien hargai paket data jangan jadikan pengguna sapi perah kuota deskripsi update cuma bug fixes ukurannya raksasa rilis tiap hari bisnis jualan aplikasi bisnis sedot kuota play store tindak pengembang rakus ini dulu beli software sekali dipakai selamanya gangguan
anjenk kurir kau nih,1,negatif,anjenk kurir kau nih
"selalu dpt voucher gratis ongkir , tapi pas mau digunakan katanya udah kepake sebelumnya padahal belum pernah dipake ,dan voucher nya belum hangus/masih berlaku",3,netral,selalu dpt voucher gratis ongkir  pas mau digunakan katanya udah kepake sebelumnya padahal pernah dipake voucher nya hangusmasih berlaku
"gw gk tahu,tapi kok spx sekarang makin slow yah,yg dulu mau hemat/ apalagi standard biasanya cepet bgt pengantarannya,tapi akhir bulan bulan ini,makin slow bgt,mungkin dah ubh kebijakan?,slow amat dah ,gk kek dulu...",4,positif,gw gk tahutapi kok spx sekarang makin slow yahyg dulu mau hemat standard biasanya cepet bgt pengantarannyatapi akhir bulan bulan inimakin slow bgtmungkin dah ubh kebijakanslow dah gk kek dulu
sangat menyenangkan belanja di shopee,5,positif,sangat menyenangkan belanja shopee
Bagus kok apk nya🥰,5,positif,bagus kok apk nya
"tolong perbaiki lagi, aku gabisa cod, padahal aku ga pernah batalkan pesanan sebelumnya njir, giliran aku mau batalin pesanan, malah engga bisa, tetep di kirim. ngapa sih💔💔",2,negatif,perbaiki aku gabisa cod padahal aku ga pernah batalkan pesanan sebelumnya njir giliran aku mau batalin pesanan malah engga tetep kirim ngapa sih
Biar bintang yang bicara...!!!,5,positif,biar bintang bicara
sangan membantu untuk kami berbelanja,5,positif,sangan membantu kami berbelanja
aplikasi bagus,3,netral,aplikasi bagus
"terlalu banyak iklan video, pas masuk apk shopee bukanya beranda yg di temui malah iklan video film..",4,positif,terlalu banyak iklan video pas masuk apk shopee bukanya beranda yg temui malah iklan video film
bagus,5,positif,bagus
oke,5,positif,oke
Hanya saran bila bisa untuk notifikasi penilainnya jangan pas barang keterima 1-2 hari baru ada karena itu bisa jadi penilaian real bukan diada² oleh pembeli,5,positif,saran bila untuk notifikasi penilainnya jangan pas barang keterima  hari baru karena bisa jadi penilaian real bukan diada pembeli
mantap,5,positif,mantap
pokoknya harga murah mantap👍,5,positif,pokoknya harga murah mantap
penjual kurang baik semoga lebih propesional lagi,5,positif,penjual kurang baik semoga lebih propesional
ok,5,positif,
Ok,5,positif,
Suka,5,positif,suka
luar biasa sukses selalu buat shoppy Indonesia,5,positif,luar biasa sukses selalu buat shoppy indonesia
"Shopee,, the best🌷🌷🌺🌺🌺🥀🥀🌹🌹ok",5,positif,shopee the bestok
apk bgus,2,negatif,apk bgus
mantap dan stabil,5,positif,mantap stabil
"harga dan vocer yg berfariasi,,mudah pengembalian barang dan dana,barang pasti bagus dan asli,,",5,positif,harga vocer yg berfariasimudah pengembalian barang danabarang bagus asli
"banyak iklan, main game iklan, gada apa apa iklan, barang ga sesuai harapan, jlk!",1,negatif,banyak iklan main game iklan gada apa apa iklan barang ga sesuai harapan jlk
"sejauh ini tmpt belanja yg paling nyaman utk belanja, produk ny lengkap,produk dan harga bersaing, gratis ongkir ny mmg top👍👍👍",5,positif,sejauh tmpt belanja yg paling nyaman utk belanja produk ny lengkapproduk harga bersaing gratis ongkir ny mmg top
"alamat balaraja kenapa jdi jakarta ? nama jalan sama kecamatannya balaraja udh bener, tp nama kota nya jakarta. gimana si ini ? drivernya bingung itu",1,negatif,alamat balaraja jdi jakarta  nama jalan sama kecamatannya balaraja udh bener tp nama kota nya jakarta gimana si  drivernya bingung
"market place tersampah , jelas belum dibuka dan barang rusak kek sampah . di komplen ga mau , emang market place tersampah si shopee ini.",1,negatif,market place tersampah  jelas dibuka barang rusak kek sampah  komplen ga mau  emang market place tersampah si shopee
good,5,positif,good
bagus,5,positif,bagus
terbaik,5,positif,terbaik
terima kasih Shopee,5,positif,terima kasih shopee
sangat membantu,5,positif,sangat membantu
Alhamdulillah udah ada perubahan,5,positif,alhamdulillah udah perubahan
sangat bagus,5,positif,sangat bagus
shopee memang mantap... 👍👍👍,5,positif,shopee memang mantap 
good apk,5,positif,good apk
untuk upload Shopee video affiliate d Shopee.. udah kualitas ultra hd dan sinyal bagus pun. ttp aja pas di upload nge blur terus. tlg perbaikin dong kedepannya. biar video par affiliator tuh ga nge blur saat di upload,3,netral,upload shopee video affiliate d shopee udah kualitas ultra hd sinyal bagus ttp aja pas upload nge blur terus tlg perbaikin dong kedepannya biar video par affiliator tuh ga nge blur di upload
aplikasi yg sangat bagus dan membantu dalam belanja.ada pay laternya juga,5,positif,aplikasi yg sangat bagus membantu belanjaada pay laternya
Puaaas Bangets. Sesuai dengan pesanan. bintang 5.,5,positif,puaaas bangets sesuai pesanan bintang 
mantap,5,positif,mantap
Alhamdulillah,5,positif,alhamdulillah
"aplikasi belanja yg paling sering aku pake, cuman sering kesel aja misal lagi buka aplikasi lain nanti malah masuk shopee, giliran buka shopee malah keluar. ngelag parahhh padahal jaringan lancar",5,positif,aplikasi belanja yg paling sering aku pake cuman sering kesel aja misal buka aplikasi nanti malah masuk shopee giliran buka shopee malah keluar ngelag parahhh padahal jaringan lancar
"makin lama makin lelet pengiriman. seharusnya shopee jangan memakai jasa kirim yang lambat seperti spx expres. saya pilih paket reguler biar cepat, malah belum sampai² juga pesanan saya. sudah menunggu selama 7hr belum ada tiba pesanan saya. parahnya lagi pihak spx menghubungi saya dan memberi informasi kalau barang saya akan tiba 7 hari kedepan. parah pilih paket reguler dgn biaya 100ribu lebih, harus menunggu sampai 2 minggu.",1,negatif,makin lama makin lelet pengiriman shopee jangan memakai jasa kirim lambat spx expres pilih paket reguler biar cepat malah pesanan sudah menunggu selama hr ada tiba pesanan parahnya pihak spx menghubungi dan memberi informasi kalau barang akan tiba  hari kedepan parah pilih paket reguler dgn biaya ribu lebih menunggu sampai  minggu
"PENGIRIMAN LAMAAAAAAAAAA !!!! KAPOKKK GUA PESAN DI SHOPEE, MENDING DI APLIKASI TT",1,negatif,pengiriman lamaaaaaaaaaa  kapokkk gua pesan shopee mending aplikasi tt
muncul iklan terus di hp sya,1,negatif,muncul iklan terus hp sya
luar biasa,5,positif,luar biasa
Shopee ist the best pokok nya,5,positif,shopee ist the best pokok nya
tolong jasa kirim spx di ganti soal nya lambat sekali pengiriman nya trimakasih,5,positif,jasa kirim spx ganti soal nya lambat sekali pengiriman nya trimakasih
ok,5,positif,
Shopee i love youuu,5,positif,shopee i love youuu
mantap,5,positif,mantap
"ayolah shopee kembalikan lagi returan yg lgsg dpt resi aja gt,gausah nunggu konfir,ditolak mulu lagi,pdhl barang ga sesuai",4,positif,ayolah shopee kembalikan returan yg lgsg dpt resi aja gtgausah nunggu konfirditolak mulu lagipdhl barang ga sesuai
"Mantap,,mohon untuk slalu di jaga status update nya dan keamanan paket saat berada di tangan kurir",5,positif,mantapmohon slalu jaga status update nya keamanan paket berada tangan kurir
top recomended,5,positif,top recomended
padahal udah saya lunasin pinjaman spaylater nya tapi kok di nonaktifkan,1,negatif,padahal udah lunasin pinjaman spaylater nya kok nonaktifkan
"Shopee memiliki banyak pilihan produk dan metode pembayaran yang lengkap. Namun, waktu pengiriman terkadang tidak konsisten. Semoga layanan ke depannya semakin ditingkatkan.",4,positif,shopee memiliki banyak pilihan produk metode pembayaran lengkap waktu pengiriman terkadang konsisten semoga layanan depannya semakin ditingkatkan
shopee keren,5,positif,shopee keren
baru ini saya pakai aplikasi shopee baru 2 hari belanja cod saya mau pesen lagi cod masa gak bisa belanja lagi sampe sekarang g bisa belanja cod😣😣😣😣,3,netral,baru pakai aplikasi shopee baru  hari belanja cod saya mau pesen cod masa gak belanja sampe sekarang g belanja cod
bagus sekali,5,positif,bagus sekali
"sayangnya sekarang ada tambahan biaya ukuran khusus, ongkir jadi tak masuk akal untuk order banyak ataupun barang besar.",5,positif,sayangnya sekarang tambahan biaya ukuran khusus ongkir jadi tak masuk akal order banyak ataupun barang besar
mantap,5,positif,mantap
"aplikasi taik membatalkan pesanan secara sepihak padahal paket blom sampai , tapi tiba2 di batalkan.",1,negatif,aplikasi taik membatalkan pesanan sepihak padahal paket blom  tiba batalkan
memang ok,5,positif,memang
